Record ID,Sort Year,Date / Period,Category,Tradition / Culture,Modern Country / Region,Being / Motif,Original Description,Source Type,Earliest Traceable Source / Event,Later Grey / Reptilian Connection,Connection Type,Possible Transmission / Influence,Evidence Level,Research Status,Primary Source URL,Secondary / Context URL,Notes
GREY-004,1933,1933,Science fiction,Swedish,Sweden,Short bald extraterrestrials,"Small beings with large bald heads and large dark eyes, wearing grey material.",Published youth novel,"Gustav Sandgren, Den okända faran",Frequently cited as an unusually close pre-contact visual template for Greys.,Strong fictional precursor,Potential cultural precursor; distribution and translation history need study.,A: publication exists,Seeded — locate scan/translation,https://en.wikipedia.org/wiki/Grey_alien,https://libris.kb.se/,Primary text access may require Swedish library research.
UFO-001,1947,1947 event; alien-body narrative expanded later,UFO history,American,United States / New Mexico,Roswell,Initial reports concerned recovered debris; later narratives added alien bodies and Greys.,"Military statements, newspapers, later testimony",Roswell incident,"By the 1980s–1990s, Roswell became tightly associated with Grey bodies and government concealment.",Retrospective narrative fusion,Later books and media strongly reshaped public memory of the 1947 event.,A: event/debris reports; D: alien-body claims,Seeded — build source timeline,https://en.wikipedia.org/wiki/Roswell_incident,https://www.af.mil/The-Roswell-Report/,Critical example of claimed-event date differing from publication date.
UFO-002,1952,1952,UFO encounter claim,American,United States / West Virginia,Flatwoods Monster,Tall figure described with glowing eyes and a hood or spade-shaped silhouette.,Witness testimony and press reports,Flatwoods incident,"Sometimes grouped with reptilian or robotic aliens, but not a standard Grey.",Later classification,Shows early UFO-era diversity before alien imagery standardized.,D: testimony; A: report history,Seeded,https://en.wikipedia.org/wiki/Flatwoods_monster,https://www.wvencyclopedia.org/articles/2192,Useful negative-control record: not every humanoid became a Grey.
GREY-005,1961,Event: 1961; hypnosis descriptions: 1964; book: 1966,UFO abduction claim,American,United States / New Hampshire,Betty and Barney Hill entities,"Humanoid beings associated with missing time, examination, and unusually large or wraparound eyes.","Witness testimony, hypnosis transcripts, book",Hill alleged abduction,Became a foundational template for the modern alien-abduction and Grey narrative.,Major narrative standardization point,"Books, television, UFO groups, and later reports amplified the template.",D: encounter claim; A: cultural impact,Seeded — archive chronology,https://library.unh.edu/find/archives/collections/betty-barney-hill-papers-1961-2006,https://en.wikipedia.org/wiki/Barney_and_Betty_Hill_incident,"Store event, dream, hypnosis, publication, and TV dates separately."
REPT-003,1967,1967 event; public account developed later,UFO encounter claim,American,United States / Nebraska,Herbert Schirmer beings,Humanoid occupants described with reptilian characteristics and a winged-serpent emblem.,Witness testimony and hypnosis,Schirmer alleged encounter,An early case later cited in reptilian-UFO literature.,Witness narrative linkage,Hypnosis and later retellings may influence detail formation.,D: testimony,Seeded — find original investigation,https://en.wikipedia.org/wiki/Schirmer_abduction,https://archive.org/,Needs original report; not only summaries.
UFO-003,1973,1973,UFO abduction claim,American,United States / Mississippi,Pascagoula beings,"Robotic or wrinkled humanoids with claw-like appendages; not classic Greys.",Witness testimony and recordings,Pascagoula alleged abduction,"Later folded into the general abduction corpus, showing continued creature diversity.",Corpus expansion,Media attention and UFO-investigator networks spread the account.,D: testimony; A: recorded report history,Seeded,https://en.wikipedia.org/wiki/Pascagoula_Abduction,https://www.history.com/news/pascagoula-alien-abduction-mississippi,Useful for comparing pre-standardization descriptions.
GREY-006,1975,1975,Television / mass media,American,United States,The UFO Incident,Television dramatization of the Hill case exposed a mass audience to the abduction narrative.,Television film,"NBC broadcast, October 20, 1975",Helped popularize and standardize Grey-like abduction imagery.,Mass-media amplification,Potential feedback from media into later witness vocabulary.,A: broadcast exists,Seeded,https://en.wikipedia.org/wiki/The_UFO_Incident,https://www.imdb.com/title/tt0073834/,Track audience reach and later citation by experiencers.
GREY-007,1977,1977,Film / mass media,American,United States,Close Encounters beings,"Small, thin, large-headed extraterrestrials depicted at the film's climax.",Feature film,Close Encounters of the Third Kind,A major visual step toward the standardized Grey.,Mass-media visual standardization,Global film distribution made the design broadly recognizable.,A: film exists,Seeded,https://en.wikipedia.org/wiki/Close_Encounters_of_the_Third_Kind,https://www.imdb.com/title/tt0075860/,Compare design development with later testimony.
GREY-008,1987,1987,Contactee / popular publishing,American,United States,Communion cover entity,"Large black almond-shaped eyes, narrow jaw, grey skin, oversized head.",Memoir and cover art,"Whitley Strieber, Communion",The cover became one of the most influential standardized Grey images.,Mass-media visual standardization,"Bookstores, television interviews, and popular discussion spread the image widely.",A: publication exists; D: encounter claim,Seeded,https://en.wikipedia.org/wiki/Communion_(book),https://www.simonandschuster.com/books/Communion/Whitley-Strieber/9780061474187,Separate the artwork's cultural impact from the truth of the account.
MIX-001,1988,Late 1970s–1980s; major circulation in 1980s,Conspiracy synthesis,American UFO underground-base lore,United States / New Mexico,Dulce Base narrative,"Alleged underground facility involving humans, Greys, genetic experiments, and sometimes reptilian superiors.","Lectures, newsletters, alleged whistleblower material",Dulce underground-base stories,"One of the key fusion points joining Greys, underground bases, government treaties, and reptilians.",Narrative convergence,"Repeated through UFO conferences, photocopied material, books, and later internet sites.",D–E: unsupported narrative,Seeded — identify earliest documents,https://en.wikipedia.org/wiki/Dulce_Base,https://www.skeptic.com/reading_room/the-dulce-base-myth/,High-priority provenance problem: many repetitions; few independent origins.
REPT-004,1990,Early 1990s onward,Contactee synthesis,Alex Collier / Andromedan contact narrative,United States,Reptilian and Grey hierarchy,"Lectures described extraterrestrial factions, with Greys and reptilian groups assigned roles in a wider cosmic conflict.",Recorded lectures and interviews,Alex Collier public lecture period,Helped consolidate Greys and reptilians into a single hierarchy for some audiences.,Contactee synthesis,Borrowed from and contributed to a growing secret-space and extraterrestrial-faction ecosystem.,D: personal testimony,Seeded — date individual lectures,https://www.alexcollier.org/,https://en.wikipedia.org/wiki/Contactee,Biographical and claim provenance require independent corroboration.
REPT-005,1999,1990s; major publication 1999,Political conspiracy synthesis,David Icke movement,United Kingdom / international,Shape-shifting reptilian elites,Claim that reptilian entities or bloodlines control political and financial institutions.,"Books, lectures, interviews","David Icke, The Biggest Secret",Popularized the modern global reptilian-control theory.,Major narrative standardization point,"Combined occult, ancient-astronaut, political, and science-fiction motifs.",A: publications exist; E: unsupported literal claim,Seeded — map cited predecessors,https://en.wikipedia.org/wiki/The_Biggest_Secret,https://en.wikipedia.org/wiki/Reptilian_conspiracy_theory,Also assess harmful political and antisemitic overlaps in some variants.
MIX-002,2000,2000s,Internet culture,Global online communities,Global,Grey–reptilian unified lore,"Forums and websites merged abductions, underground bases, bloodlines, secret programs, Antarctica, and dimensional portals.","Web forums, videos, blogs",Early mass-internet conspiracy ecosystem,Previously separate motifs became searchable and mutually reinforcing.,Network amplification,Copying and reposting make one source appear to be many independent accounts.,A: online corpus exists; claims vary,Seeded — archive representative forums,https://en.wikipedia.org/wiki/UFO_conspiracy_theories,https://web.archive.org/,Use archived timestamps and canonical-source detection.
MIX-003,2020,2020s,Social media / AI media,Global digital culture,Global,AI-generated alien and Antarctica imagery,"Synthetic images, fabricated maps, short videos, and unattributed quotations circulate alongside older material.",Social platforms and generative media,Rapid platform-driven mutation,"Can create false visual 'evidence' and accelerate fusion of Grey, reptilian, Nazi-base, and portal stories.",Synthetic-media contamination,Recommendation systems and reposting rapidly collapse distinct traditions into one narrative.,A: phenomenon exists; individual claims require forensics,Seeded — build image provenance queue,https://arxiv.org/abs/2409.02117,https://www.reuters.com/fact-check/,"Every image should retain file hash, upload date, earliest known appearance, and reverse-image results."
